ds,yhat,yhat_lower,yhat_upper
2019-08-24,192419.99475256668,85877.54200571944,300477.8187661419
2019-08-25,233797.93744987503,118325.79751462399,347019.1296248521
2019-08-26,173461.87022688932,67469.71589774186,294078.95534898643
2019-08-27,-16536.818404249963,-127624.33281659186,94612.70810453747
2019-08-28,83443.70716217557,-39990.336269021864,192406.39475123887
2019-08-29,168432.2163858824,56927.858027595255,277457.8666434511
2019-08-30,221341.5830662017,115624.39990311423,334509.55527842185
2019-08-31,188957.74364337022,79654.4944038491,300821.6660193487
2019-09-01,231581.82587171844,119717.71746920315,337620.2905253609
2019-09-02,172916.09606922994,60396.47171135144,286970.97940654977
2019-09-03,-14975.85343909057,-124000.93548038439,102856.9533469989
2019-09-04,87544.87044801,-26645.48835190088,197540.09263531846
2019-09-05,175488.11724769475,56417.811007937955,301610.7214538579
2019-09-06,231731.55506060895,121383.40075209626,345707.6133051844
2019-09-07,203009.86901866173,90871.4647465695,308898.83477800566
2019-09-08,249557.68674269656,125986.25270387922,359906.01345263835
2019-09-09,194996.8691307794,75465.19434015985,315108.85430066433
2019-09-10,11298.56018266303,-106835.09072861266,127853.4551667627
2019-09-11,117999.49754791624,5133.945654125827,230906.67031592695
2019-09-12,210000.41565710728,92860.62975797374,321706.464513752
2019-09-13,270065.99067130586,153288.7518216504,382245.7441112782
2019-09-14,244817.36809170234,133357.2834526184,356618.0479284108
2019-09-15,294378.5650869239,190211.23974378963,413786.4511717831
2019-09-16,242267.2797849976,126347.09668162467,350723.30945451086
2019-09-17,60360.39192776593,-53025.658685836475,186172.71087803016
2019-09-18,168113.54643801143,50203.60147263168,278010.90404802
2019-09-19,260362.54476016058,148815.87314913675,370031.89780492685
2019-09-20,319825.8925991463,204395.45708603214,427431.16046069283
2019-09-21,293099.4539172715,185027.54848006638,405866.37145481975
2019-09-22,340304.42472540785,223175.77315474345,449413.2466231907
2019-09-23,284979.0960842869,172146.43719872137,400080.1135783469
2019-09-24,99044.64480134092,-18855.033384150163,210523.8476427188
